source	proposed_ru	category	sense_ruleset	forms_or_voice	scope	evidence	origin_unit	rationale	proposed_by	status	reviewer	decision_date	notes
Vistana	вистана	setting-term	singular member of Vistani people	gendered and adjectival forms require context	global	corpus-wide usage	workflow-baseline	Singular morphology and cultural register need explicit review.	initial-domain-audit	candidate			
Vistani	вистани	setting-term	people/plural/adjective	вистани;вистанский	global	corpus-wide usage	workflow-baseline	Distinguish plural noun from adjective and review published usage.	initial-domain-audit	candidate			
Morninglord	Утренний Владыка	deity-title	setting religion	masculine title	global	Chapter 2 - The Land of Barovia/Lore of Barovia.md	workflow-baseline	Confirm established Russian setting usage and capitalization.	initial-domain-audit	candidate			
Sunsword	Солнечный меч	artifact	setting item	masculine inanimate; capitalization TBD	global	Act IV - Secrets of the Ancient/Arc S - A Sword of Sunlight.md	workflow-baseline	Confirm published form, capitalization, and distinction from Brightblade.	initial-domain-audit	candidate			
character	персонаж	contextual-role	GM prose	персонажа;персонажу	global	corpus-wide frequent term	workflow-baseline	Review special uses such as character trait or letter character.	initial-domain-audit	candidate			
Dungeon Master	Мастер	role	D&D table role	Мастера;Мастеру	global	Introduction and Chapter 3	workflow-baseline	Confirm whether visible long form should ever be «Мастер Подземелий».	initial-domain-audit	candidate			
Resonance	эмоциональный отклик	profile-label	Reloaded NPC profile concept	Not a magical resonance effect.	NPC profiles	Appendices/Non-Player Characters.md	workflow-baseline	Needs concise repeatable profile label.	initial-domain-audit	candidate			
Barovian	баровиец / баровийка	setting-term	singular demonym	баровиец;баровийка;баровийца;баровийке	global	corpus-wide nominal uses	workflow-baseline	Keep the demonym distinct from the approved adjective; verify morphology in context.	initial-domain-audit	candidate			
Barovians	баровийцы	setting-term	plural demonym	баровийцы;баровийцев;баровийцам;баровийцами	global	corpus-wide nominal uses	workflow-baseline	Keep the demonym distinct from the approved adjective.	initial-domain-audit	candidate			
Bloodied	термин не утверждён	condition	Reloaded homebrew condition	Define a condition-label lemma plus forms for существо/цель/персонаж.	global	Appendices/Glossary.md	workflow-baseline	The mechanic is only a half-HP threshold; avoid a term that necessarily implies visible blood.	initial-domain-audit	candidate			
Dazed	термин не утверждён	condition	Reloaded homebrew condition	Define a condition-label lemma plus feminine/neuter/plural agreement.	global	Appendices/Glossary.md	workflow-baseline	Do not use «ошеломлён» without resolving its collision with established Stunned terminology.	initial-domain-audit	candidate			
Hindered	термин не утверждён	condition	Reloaded homebrew condition	Define a condition-label lemma plus feminine/neuter/plural agreement.	global	Appendices/Glossary.md	workflow-baseline	Avoid wording that falsely implies Restrained, Grappled, or a physical binding.	initial-domain-audit	candidate			
Slowed	термин не утверждён	condition	Reloaded homebrew condition	Define a condition-label lemma plus feminine/neuter/plural agreement.	global	Appendices/Glossary.md	workflow-baseline	Keep distinct from the slow spell and any similarly named 2024 mechanic.	initial-domain-audit	candidate			
Challenge Ratings 2.0	Показатели опасности 2.0 (предварительно)	homebrew-system	Reloaded encounter system	branded plural label and Mild/Bruising/Bloody/Crushing tiers	global	Chapter 3 - Running the Game/Running the Adventure.md:55	workflow-baseline	Verify established «показатель опасности» terminology and coin project terms for every severity tier.	initial-domain-audit	candidate			
Rahadin	Рахадин	proper-name	setting character	Рахадина;Рахадину;Рахадином	global	Act III - The Broken Land/Arc O - Dinner with the Devil.md:49-59	workflow-baseline	Verify transliteration and declension before first dialogue.	initial-domain-audit	candidate			
Lady Fiona Wachter	леди Фиона Вахтер	proper-name-title	setting character	леди Фионы Вахтер;леди Фионе Вахтер	global	Act II - The Shadowed Town/Arc F - Lady Wachter's Wish.md:27-35,93-109	workflow-baseline	Verify title casing, Wachter transliteration, and declension policy.	initial-domain-audit	candidate			
Rudolph van Richten	Рудольф ван Рихтен	proper-name	setting character	Рудольфа ван Рихтена;Рудольфу ван Рихтену	global	Act IV - Secrets of the Ancient/Arc T - The Three Fanes.md:1663-1670	workflow-baseline	Keep van lowercase in running prose; verify surname declension.	initial-domain-audit	candidate			
Rictavio	Риктавио	proper-name	setting persona	indeclinable candidate	global	Appendices/Non-Player Characters.md:1456-1471	workflow-baseline	Verify established spelling before the Vallaki dialogue pass.	initial-domain-audit	candidate			
Gustav Durst	Густав Дёрст	proper-name	Death House character	Густава Дёрста;Густаву Дёрсту;Густавом Дёрстом;Густаве Дёрсте (candidate masculine declension)	global	Act I - Into the Mists/Arc A - Escape From Death House.md:553	arc-a	Legacy proposal is plausible; verify transliteration and the proposed masculine surname declension in every active-unit context.	legacy-glossary-evidence-audit	candidate			Provenance: cos-translation-skill-stuff/references/cos-glossary.md; add a short-name row for Gustav if promoted.
Elisabeth Durst	Элизабет Дёрст	proper-name	Death House character	both feminine components indeclinable (candidate)	global	Act I - Into the Mists/Arc A - Escape From Death House.md:117	arc-a	Verify transliteration, ё, and the proposed indeclinability before first binding use.	legacy-glossary-evidence-audit	candidate			Provenance: legacy home-game glossary; add a short-name row for Elisabeth if promoted.
Rosavalda "Rose" Durst	Розавальда «Роза» Дёрст	proper-name	Death House character and nickname	Розавальды;Розавальде;Розавальду;Розавальдой; surname Дёрст indeclinable for this woman (candidate)	global	Act I - Into the Mists/Arc A - Escape From Death House.md:537	arc-a	Verify transliteration, nickname handling, Russian quotation, and proposed morphology in context.	legacy-glossary-evidence-audit	candidate			Do not copy the supplied ASCII nickname quotes; add separate Rosavalda and Rose alias rows if promoted.
Walter	Уолтер	proper-name	Death House character	Уолтера;Уолтеру;Уолтером;Уолтере	Death House sense	Act I - Into the Mists/Arc A - Escape From Death House.md:487	arc-a	Verify the character sense and normal masculine declension before promotion.	legacy-glossary-evidence-audit	candidate			Provenance: legacy home-game glossary; distinguish unrelated Walters if any.
Amber Shard	янтарный осколок	setting-item	Reloaded campaign hook item	янтарного осколка;янтарному осколку;янтарным осколком;янтарном осколке;янтарные осколки;янтарных осколков (candidate)	global	Appendices/Amber Shards.md:1-3; Act I - Into the Mists/Arc A - Escape From Death House.md:52	arc-a	Use lowercase for the generic recurring item; verify title capitalization in the Arc A relic label and the recurring item sense.	legacy-glossary-evidence-audit	candidate			Provenance: legacy glossary plus the pinned defining passage; the phrase recurs throughout the corpus.
