source	approved_ru	category	sense_ruleset	gender_animacy	forms	capitalization	scope	forbidden_variants	status	enforce	evidence	origin_unit	reviewer	decision_date	notes
Strahd von Zarovich	Страд фон Зарович	proper-name	setting character	masculine animate	Страда фон Заровича;Страду фон Заровичу;Страдом фон Заровичем;Страде фон Заровиче	фон remains lowercase	global		approved	yes	Chapter 2 - The Land of Barovia/Strahd von Zarovich.md	workflow-baseline	initial-domain-audit	2026-07-11	Use natural case inflection.
Strahd	Страд	proper-name	setting character	masculine animate	Страда;Страду;Страдом;о Страде	capitalized	global		approved	yes	corpus-wide recurring name	workflow-baseline	initial-domain-audit	2026-07-11	Do not leave the English spelling in visible prose.
Barovia	Баровия	place	setting	feminine inanimate	Баровии;Баровию;Баровией	capitalized	global		approved	yes	corpus-wide setting name	workflow-baseline	initial-domain-audit	2026-07-11	
Barovian	баровийский	adjective	setting adjective		баровийского;баровийская;баровийское;баровийские	lowercase unless title/start	adjectival uses only		approved	no	corpus-wide adjectival contexts	workflow-baseline	initial-domain-audit	2026-07-11	The identical English noun is unresolved; use the separate demonym candidates rather than this adjective.
Death House	Дом смерти	place	setting	masculine inanimate	Дома смерти;Дому смерти;Домом смерти;Доме смерти	capitalized as proper location	global		approved	yes	Act I - Into the Mists/Arc A - Escape From Death House.md	workflow-baseline	initial-domain-audit	2026-07-11	English filename remains protected.
Castle Ravenloft	замок Равенлофт	place	setting	masculine inanimate	замка Равенлофт;замку Равенлофт;замком Равенлофт;замке Равенлофт	Ravenloft capitalized	global		approved	yes	corpus-wide location	workflow-baseline	initial-domain-audit	2026-07-11	Use Равенлофт alone when the source does.
Ravenloft	Равенлофт	place	setting	masculine inanimate	Равенлофта;Равенлофту;Равенлофтом;Равенлофте	capitalized	global		approved	yes	corpus-wide location	workflow-baseline	initial-domain-audit	2026-07-11	
Mists	Туманы	setting-term	supernatural named phenomenon	plural	Туманов;Туманам;Туманами;Туманах	capitalized	global		approved	yes	Chapter 2 - The Land of Barovia/Lore of Barovia.md	workflow-baseline	initial-domain-audit	2026-07-11	Only the capitalized supernatural phenomenon; ordinary mist is lowercase туман.
Dark Powers	Тёмные силы	setting-term	Ravenloft entities	plural	Тёмных сил;Тёмным силам;Тёмными силами	capitalized	global		approved	yes	Chapter 2 - The Land of Barovia/History of Barovia.md	workflow-baseline	initial-domain-audit	2026-07-11	
Madam Eva	мадам Ева	proper-name	setting character	feminine animate	мадам Евы;мадам Еве;мадам Еву;мадам Евой	generic title lowercase except sentence start	global		approved	yes	Act I - Into the Mists/Arc C - Into the Valley.md	workflow-baseline	initial-domain-audit	2026-07-11	Title does not decline. Capitalization requires contextual human review because the current linter is intentionally case-insensitive; recheck if a published setting convention requires capitalization.
Ireena Kolyana	Ирина Коляна	proper-name	setting character	feminine animate	Ирины Коляны;Ирине Коляне;Ирину Коляну;Ириной Коляной	capitalized	global		approved	yes	corpus-wide recurring name	workflow-baseline	initial-domain-audit	2026-07-11	
Ireena	Ирина	proper-name	setting character	feminine animate	Ирины;Ирине;Ирину;Ириной	capitalized	global		approved	yes	corpus-wide recurring name	workflow-baseline	initial-domain-audit	2026-07-11	
